Link,Comment,Weakness Category,Security Weakness
https://stackoverflow.com/a/20159305/5749570,"""+1 for the pd.read_clipboard(sep='\s\s+') tip. When I post SO questions that need a special but easily shared dataframe|| like this one I build it in excel|| copy it to my clipboard|| then instruct SOers to do the same. Saves so much time! """,Not A Weakness,No
https://stackoverflow.com/a/20159305/5749570,the pd.read_clipboard(sep='\s\s+') suggestion does not seem to work if you're using Python on a remote server|| which is where a lot of large data sets live.,Flaw,No
https://stackoverflow.com/a/20159305/5749570,Why pd.read_clipboard(sep='\s\s+')|| and not a simpler pd.read_clipboard() (with the default ‘s+’)? The first need at least 2 whitespace characters|| which may cause problems if there is only 1 (e. g. see such in the @JohnE 's answer).,Coding Error,No
https://stackoverflow.com/a/20159305/5749570,@MarianD the reason that \s\s+ is so popular is that there is often one e.g. in a column name|| but multiple is rarer|| and pandas output nicely puts in at least two between columns. Since this is just for toy/small datasets it's pretty powerful/majority of cases. Note: tabs separated would be a different story|| though stackoverflow replaces tabs with spaces|| but if you have a tsv then just use \t. ,Not A Weakness,No
https://stackoverflow.com/a/20159305/5749570,Ugh|| i always use pd.read_clipboard()|| when their are spaces|| i do: pd.read_clipboard(sep='\s+{2||}'|| engine='python') :P,Disagree,No
https://stackoverflow.com/a/20159305/5749570,I think it should be mentioned that df.head().to_dict() often produces a minimal representation of the dataset which can then be used to copy and paste code for the question. When it doesn't|| it's usually because there are too many columns. If there are too many columns|| a slice of the columns using df.columns[...] or df.select_dtypes will be very helpful.,Flaw,No
https://stackoverflow.com/a/17604212/5749570,"Or even d = ""cdef"" which leads to MyList = [""cdef""[k] for k in [x|| y|| z]]",Not A Weakness,No
https://stackoverflow.com/a/17604212/5749570,or map(lambda i: 'cdef'[i]|| [x|| y|| z]),Not A Weakness,No
https://stackoverflow.com/a/17604212/5749570,Aside from the list comprehension which I'm not yet fully accustomed to|| most of us had the same reflex: build that dict ! ,Not A Weakness,No
https://stackoverflow.com/a/31105868/5749570,Note that this code is recursive|| but recursion isn't necessary here|| and as Kevin said|| it can blow your stack.,Flaw,No
https://stackoverflow.com/a/31105868/5749570,"@PM2Ring - you are right. But my purpose here was just to show how ""short circuiting"" can minimise (beautify) long pieces of code. ",Not A Weakness,No
https://stackoverflow.com/a/31105868/5749570,Why would you assign a lambda to a variable|| just use def instead. def f(age): is far clearer than f = lambda age:,Disagree,No
https://stackoverflow.com/a/31105868/5749570,In some cases|| you may need the age just once and then there is no use of that function. One may want to use a function and throw it away after the job is done. Also|| this may not be the best way|| but it definitely is a different way of doing it (which was the purpose of my solution). ,Flaw,No
https://stackoverflow.com/a/31105868/5749570,@aaveg how would you turn this code to actually save the age provided by the user?,Not A Weakness,No
https://stackoverflow.com/a/31105868/5749570,"found it|| just return the age: f=lambda age: (age.isdigit() and (int(age)>=18  and age)) or \ f(input(""invalid input. Try again\nPlease enter your age: "")) print((input(""Please enter your age: "")))",Not A Weakness,No
https://stackoverflow.com/a/1373201/5749570,locals().update({'new_local_var':'some local value'}) works just fine for me in Python 3.7.6; so I'm not sure what you mean when you say you cannot assign values through it.,Disagree,No
https://stackoverflow.com/a/1373201/5749570,"Given x = ""foo"" and locals()[""x""] = ""bar"" using print x gives the output bar for Jython 2.5.2. This was tested with an On Demand Automation Script in maximo.",Not A Weakness,No
https://stackoverflow.com/a/1373201/5749570,"The documentation of locals() specifically says: ""The contents of this dictionary should not be modified."" (emphasis mine) ",Not A Weakness,No
https://stackoverflow.com/a/1373201/5749570,@JimDennis`locals()`` provides a dictionary created to represent local variables. Updating it does not guarantee to update the actual local variables. In modern Python implementations it's more like a picture (showing the content) in a nice frame (a high-level dict) – drawing on the picture won't actually change the real thing.,Disagree,No
https://stackoverflow.com/a/1373201/5749570,@JimDennis: You're likely using it in a context where it's not actually local variables of a function. In an actual function|| the real locals are not changed. Sure|| you can save off the result of locals() and read from/write to it|| but it never changes the real locals|| you're just getting a dict snapshot and modifying said dict. In the cases it works|| it's not actually locals (at least on CPython). ,Disagree,No
https://stackoverflow.com/a/1373201/5749570,The reason it doesn't work|| at least on CPython|| is that CPython allocates a fixed size array for locals|| and the size of said array is determined when the function is defined|| not when its run|| and can't be changed (access to true locals doesn't even use the name; the name is replaced with the index into the array at function compile time). locals() returns a true dict; within a function|| that dict is made by loading names and associated values in the array when you call locals()|| it won't see future changes. If it changes|| you're at global or class scope (which use dict scopes). ,Disagree,No
https://stackoverflow.com/a/509297/5749570,This suggestion works for positive stride|| but does not for a negative stride. From the diagram|| I expect a[-4||-6||-1] to be yP but it is ty. What always work is to think in characters or slots and use indexing as a half-open interval -- right-open if positive stride|| left-open if negative stride. ,Flaw,No
